States,pop2020,reported,rate,violent,nonViolent,Crimes,Latitude,Longitude
New Mexico,2106319,22077,6462.032,16393,119718,136111,34.1662325,-106.0260685
Louisiana,4645318,35473,6408.216,29704,267978,297682,30.9733766,-91.4299097
Colorado,5807719,30238,6090.756,24570,329164,353734,38.9979339,-105.550567
South Carolina,5218040,33133,5972.837,27691,283974,311665,33.62505,-80.9470381
Arkansas,3030522,25590,5898.753,20363,158400,178763,34.7519275,-92.1313784
Oklahoma,3980783,23666,5869.825,18255,215410,233665,35.3097654,-98.7165585
Washington,7693612,28061,5758.57,22596,420446,443042,38.8993487,-77.0145665
Tennessee,6886834,51314,5658.304,46328,343350,389678,35.830521,-85.9785989
Oregon,4241507,17698,5609.893,12380,225564,237944,44.1419049,-120.5380993
Missouri,6151548,38447,5604.784,33385,311396,344781,38.3046615,-92.437099
Alaska,731158,10647,5358.896,6126,33056,39182,61.3025006,-158.7750198
Utah,3249879,13400,5189.516,8471,160182,168653,39.4997605,-111.547028
Hawaii,1407006,8399,5076.88,3576,67856,71432,20.46,-157.505
Arizona,7421401,40435,4940.118,35980,330646,366626,34.1682185,-111.930907
Texas,29360759,135574,4936.535,131084,1318320,1449404,31.1693363,-100.0768425
North Carolina,10600823,48904,4872.292,44451,472052,516503,35.2145629,-79.8912675
Kansas,2913805,16783,4823.212,12385,128154,140539,38.4987789,-98.3200779
Alabama,4921532,26596,4727.065,22322,210322,232644,32.6010112,-86.6807365
California,39368078,178304,4719.9,174026,1684108,1858134,37.2718745,-119.2704153
Montana,1080577,9319,4711.464,5077,45834,50911,46.6797995,-110.044783
North Dakota,765309,6766,4577.236,2518,32512,35030,47.4678819,-100.3022655
Minnesota,5657342,19948,4527.25,15698,240424,256122,46.4418595,-93.3655146
Mississippi,2966786,12841,4494.426,8638,124702,133340,32.5851062,-89.8772196
South Dakota,892717,8389,4414.837,4476,34936,39412,44.2126995,-100.2471641
Georgia,10710017,46865,4414.802,42850,429976,472826,32.6781248,-83.2229757
Delaware,986809,8185,4354.642,4262,38710,42972,39.145251,-75.4189206
Nevada,3138259,18298,4313.506,14445,120924,135369,38.502032,-117.0230604
Nebraska,1937552,10291,4152.405,6473,73982,80455,41.5008195,-99.680902
Ohio,11693217,39805,4009.418,36104,432726,468830,40.1903624,-82.6692525
Indiana,6754953,27727,3924.039,24161,240906,265067,39.7662195,-86.441277
Florida,21733312,86907,3922.458,83368,769112,852480,27.9757279,-83.8330166
Kentucky,4477251,15159,3818.102,11600,159346,170946,37.8222935,-85.7682399
Iowa,3163561,12997,3699.976,9601,107450,117051,41.9383166,-93.389798
Pennsylvania,12783254,53081,3677.679,49793,420334,470127,40.9945928,-77.6046984
Maryland,6055802,27435,3619.488,24215,194974,219189,38.8063524,-77.2684162
Illinois,12587530,56731,3544.667,53612,392574,446186,39.739318,-89.504139
Wyoming,582328,4585,3455.441,1364,18758,20122,43.000325,-107.5545669
Connecticut,3557006,9589,3311.746,6459,111340,117799,41.5187835,-72.757507
Wisconsin,5832655,21832,3294.709,18861,173308,192169,44.7862968,-89.8267049
Michigan,9966555,50363,3199.772,47641,271266,318907,44.9435598,-86.4158049
New York,19336776,73160,3185.2,70339,545576,615915,40.7056258,-73.97968
West Virginia,1784787,9151,3154.662,6352,49952,56304,38.9201705,-80.1816905
Virginia,8590563,20838,3121.483,17925,250228,268153,38.0033855,-79.4587861
Rhode Island,1057125,4931,2721.722,2440,26332,28772,41.5827282,-71.5064508
Vermont,623347,3515,2607.376,1081,15172,16253,43.8717545,-72.4477828
New Jersey,8882371,19669,2511.751,17353,205750,223103,40.1430058,-74.7311156
Idaho,1826913,6656,2466.346,4432,40626,45058,45.4945756,-114.1424303
Maine,1350141,3778,2420.932,1466,31220,32686,45.2185133,-69.0148656
Massachusetts,6893574,23394,2415.177,21288,145204,166492,42.0629398,-71.718067
New Hampshire,1366275,4198,2344.184,2000,30028,32028,44.0012306,-71.5799231
